vertical_code,vertical_name,rank,company_name,company_key,acquiring_likelihood_score,confidence,signals,evidence_count,osm_type,osm_id,lat,lon,website,phone,address,source_tags_json
0001-1499,Agricultural Services,1,petvet24.gr,petvet24 gr,65,medium,"website,phone,opening_hours,address,corporate_name",1,node,5265649742,38.0159593,23.7402736,Petvet24.gr,2112141217,Γαλατσίου 27 Αθήνα,"{""addr:city"": ""\u0391\u03b8\u03ae\u03bd\u03b1"", ""addr:housenumber"": ""27"", ""addr:street"": ""\u0393\u03b1\u03bb\u03b1\u03c4\u03c3\u03af\u03bf\u03c5"", ""amenity"": ""veterinary"", ""check_date"": ""2024-06-09"", ""email"": ""info@petvet24.gr"", ""facebook"": ""https://www.facebook.com/petvet24.gr/?locale=el_GR"", ""name"": ""petvet24.gr"", ""opening_hours"": ""Mo,We 09:00-15:00; Tu,Th,Fr 09:00-20:30; Sa 09:00-15:00"", ""phone"": ""2112141217"", ""website"": ""Petvet24.gr"", ""wheelchair"": ""no""}"
0001-1499,Agricultural Services,2,Vetsurgery gr,vetsurgery gr,65,medium,"website,phone,opening_hours,address,corporate_name",1,node,13575311504,38.0011081,23.8050287,https://vetsurgery.gr/,2107775177,17ης Νοεμβρίου 84 15562,"{""addr:housenumber"": ""84"", ""addr:postcode"": ""15562"", ""addr:street"": ""17\u03b7\u03c2 \u039d\u03bf\u03b5\u03bc\u03b2\u03c1\u03af\u03bf\u03c5"", ""amenity"": ""veterinary"", ""email"": ""info@vetsurgery.gr"", ""name"": ""Vetsurgery gr"", ""opening_hours"": ""Mo-Fr 09:00-14:00"", ""phone"": ""2107775177"", ""website"": ""https://vetsurgery.gr/""}"
0001-1499,Agricultural Services,3,NafplioBioFarms,nafpliobiofarms,62,medium,"website,phone,opening_hours,scheme_support",1,node,11028336236,37.5893697,22.8204533,https://www.nafpliobiofarms.gr,+30 694 418 4703; +30 2752 091087,,"{""check_date"": ""2023-07-07"", ""contact:phone"": ""+30 694 418 4703; +30 2752 091087"", ""contact:website"": ""https://www.nafpliobiofarms.gr"", ""description"": ""Please call and book before coming"", ""email"": ""nafpliobiofarms@gmail.com"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""customers"", ""name"": ""NafplioBioFarms"", ""opening_hours"": ""09:00-20:00"", ""organic"": ""only"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""shop"": ""farm"", ""wheelchair"": ""yes""}"
0001-1499,Agricultural Services,4,Esodeia Agriculture,esodeia agriculture,62,medium,"website,phone,opening_hours,scheme_support",1,node,9837362437,40.251006,22.5625194,https://www.esodeia.gr,+306988600034,,"{""currency:EUR"": ""yes"", ""internet_access"": ""wlan"", ""name"": ""Esodeia Agriculture"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""organic"": ""yes"", ""payment:american_express"": ""yes"", ""payment:cash"": ""yes"", ""payment:coins"": ""yes"", ""payment:contactless"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""payment:diners_club"": ""yes"", ""payment:discover_card"": ""yes"", ""payment:electronic_purses"": ""yes"", ""payment:maestro"": ""yes"", ""payment:mastercard"": ""yes"", ""payment:visa"": ""yes"", ""payment:visa_debit"": ""yes"", ""payment:visa_electron"": ""yes"", ""phone"": ""+306988600034"", ""shop"": ""farm"", ""website"": ""https://www.esodeia.gr"", ""wheelchair"": ""yes""}"
0001-1499,Agricultural Services,5,NP Vet,np vet,61,medium,"operator,website,phone,address",1,node,12142019493,37.9181179,23.7507606,https://npvet.gr/,+302109934943,Γεωργίου Παπανδρέου 66 16451 Αργυρούπολη,"{""addr:city"": ""\u0391\u03c1\u03b3\u03c5\u03c1\u03bf\u03cd\u03c0\u03bf\u03bb\u03b7"", ""addr:housenumber"": ""66"", ""addr:postcode"": ""16451"", ""addr:street"": ""\u0393\u03b5\u03c9\u03c1\u03b3\u03af\u03bf\u03c5 \u03a0\u03b1\u03c0\u03b1\u03bd\u03b4\u03c1\u03ad\u03bf\u03c5"", ""amenity"": ""veterinary"", ""email"": ""info@npvet.gr"", ""level"": ""0"", ""mobile"": ""+306944411160"", ""name"": ""NP Vet"", ""operator"": ""\u039d\u03af\u03ba\u03bf\u03c2 \u03a0\u03b1\u03bd\u03b1\u03b3\u03b9\u03ce\u03c4\u03bf\u03c5"", ""phone"": ""+302109934943"", ""website"": ""https://npvet.gr/""}"
0001-1499,Agricultural Services,6,Pet+Vet,pet vet,59,medium,"website,phone,opening_hours,address",2,node,12228967967,37.9678314,23.6446875,https://www.petvet.com.gr/,+30 21 0490 7142,Πέτρου Ράλλη 323,"{""addr:housenumber"": ""323"", ""addr:street"": ""\u03a0\u03ad\u03c4\u03c1\u03bf\u03c5 \u03a1\u03ac\u03bb\u03bb\u03b7"", ""amenity"": ""veterinary"", ""name"": ""Pet+Vet"", ""opening_hours"": ""Mo-Fr 08:30-21:30; Sa 08:30-19:30; Su 10:00-19:30"", ""phone"": ""+30 21 0490 7142"", ""website"": ""https://www.petvet.com.gr/""}"
0001-1499,Agricultural Services,7,hospetal,hospetal,59,medium,"website,phone,opening_hours,address",1,node,6595057932,37.9524307,23.7105151,https://hospetal.gr/,2107000226,Ανδρέα Συγγρού 226 17672 Καλλιθέα,"{""addr:city"": ""\u039a\u03b1\u03bb\u03bb\u03b9\u03b8\u03ad\u03b1"", ""addr:country"": ""GR"", ""addr:housenumber"": ""226"", ""addr:postcode"": ""17672"", ""addr:street"": ""\u0391\u03bd\u03b4\u03c1\u03ad\u03b1 \u03a3\u03c5\u03b3\u03b3\u03c1\u03bf\u03cd"", ""amenity"": ""veterinary"", ""email"": ""info@hospetal.gr"", ""name"": ""hospetal"", ""opening_hours"": ""24/7"", ""phone"": ""2107000226"", ""website"": ""https://hospetal.gr/""}"
0001-1499,Agricultural Services,8,"Ιατρείο Μικρών Ζώων - Dr. Νικόλαος Δημ.Τσάτσας, Κτηνίατρος, MRCVS",dr mrcvs,57,medium,"operator,phone,opening_hours,address",1,node,10026471537,38.0231284,23.7492498,,+302102131883,Ωρωπού 57,"{""addr:housenumber"": ""57"", ""addr:street"": ""\u03a9\u03c1\u03c9\u03c0\u03bf\u03cd"", ""amenity"": ""veterinary"", ""check_date:opening_hours"": ""2025-09-05"", ""name"": ""\u0399\u03b1\u03c4\u03c1\u03b5\u03af\u03bf \u039c\u03b9\u03ba\u03c1\u03ce\u03bd \u0396\u03ce\u03c9\u03bd - Dr. \u039d\u03b9\u03ba\u03cc\u03bb\u03b1\u03bf\u03c2 \u0394\u03b7\u03bc.\u03a4\u03c3\u03ac\u03c4\u03c3\u03b1\u03c2, \u039a\u03c4\u03b7\u03bd\u03af\u03b1\u03c4\u03c1\u03bf\u03c2, MRCVS"", ""opening_hours"": ""Mo-Sa 09:00-13:00; Mo-Fr 17:30-20:30"", ""opening_hours:signed"": ""no"", ""operator"": ""Dr. \u039d\u03b9\u03ba\u03cc\u03bb\u03b1\u03bf\u03c2 \u0394\u03b7\u03bc.\u03a4\u03c3\u03ac\u03c4\u03c3\u03b1\u03c2"", ""phone"": ""+302102131883""}"
0001-1499,Agricultural Services,9,"Mavroudis Olive oil Factory, Museum and Shop",mavroudis olive oil factory museum and shop,54,medium,"website,phone,opening_hours",1,node,5075341185,39.4616956,19.9142042,https://oliveoilcorfu.gr/,+302661076759,,"{""name"": ""Mavroudis Olive oil Factory, Museum and Shop"", ""opening_hours"": ""Mo-Sa 08:30-20:00; Su 09:00-13:00"", ""phone"": ""+302661076759"", ""shop"": ""farm"", ""tourism"": ""museum"", ""website"": ""https://oliveoilcorfu.gr/""}"
0001-1499,Agricultural Services,10,Seaside Vets,seaside vets,51,medium,"website,phone,address",1,node,6832722985,37.9435573,23.6618381,https://seasidevets.blogspot.com,2111847273,Παναγίας Μυρτιδιωτίσσης 8 Πειραιάς,"{""addr:city"": ""\u03a0\u03b5\u03b9\u03c1\u03b1\u03b9\u03ac\u03c2"", ""addr:housenumber"": ""8"", ""addr:street"": ""\u03a0\u03b1\u03bd\u03b1\u03b3\u03af\u03b1\u03c2 \u039c\u03c5\u03c1\u03c4\u03b9\u03b4\u03b9\u03c9\u03c4\u03af\u03c3\u03c3\u03b7\u03c2"", ""amenity"": ""veterinary"", ""email"": ""info@seasidevets.gr"", ""name"": ""Seaside Vets"", ""phone"": ""2111847273"", ""website"": ""https://seasidevets.blogspot.com""}"
